Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2015-01-20 14:00:00	204.61	210.79	203.326	209.546	1135.2	235435.86	207.4
2015-01-20 15:00:00	209	209.8	208	209.1	489.68	102318.71	208.95
2015-01-20 16:00:00	208.404	209.79	208.403	208.999	342.9	71710.07	209.13
2015-01-20 17:00:00	208.78	211	208.775	209.99	714.64	149949.56	209.83
2015-01-20 18:00:00	209.88	210.457	207.498	208.493	333.93	69792.02	209
2015-01-20 19:00:00	208.527	210.99	207.903	209.52	277.66	58191.39	209.58
2015-01-20 20:00:00	209.75	210.5	208.877	209.237	322	67525.35	209.7
2015-01-20 21:00:00	209.237	209.42	207.6	207.997	412.53	86005.14	208.48
2015-01-20 22:00:00	207.971	207.99	207.421	207.987	397.62	82566.41	207.65
2015-01-20 23:00:00	207.99	210	207.424	208.528	443.59	92580.83	208.71
2015-01-21 00:00:00	208.498	209.99	208.3	209.5	148.84	31201.17	209.63
2015-01-21 01:00:00	209.2	210	208.183	209.27	73.41	15345.59	209.03
2015-01-21 02:00:00	209.27	211	209.003	209.228	553.49	116380.68	210.27
2015-01-21 03:00:00	210.073	210.987	209.033	209.354	52.57	11032.03	209.86
2015-01-21 04:00:00	209.35	211	209.35	211	138.57	29154.33	210.39
2015-01-21 05:00:00	211	212	209.857	211.985	432.75	91431.76	211.28
2015-01-21 06:00:00	211.455	212	208.858	209.34	301.61	63434.81	210.32
2015-01-21 07:00:00	209.34	210.532	208.121	208.5	153.02	31989.38	209.05
2015-01-21 08:00:00	208.501	209.999	207.997	208.181	575.41	119816.9	208.23
2015-01-21 09:00:00	208.291	209.998	208.041	209.322	436.65	91161.52	208.78
2015-01-21 10:00:00	209.48	210.877	209.326	210.433	269.87	56787.08	210.42
2015-01-21 11:00:00	210.434	210.75	208.503	209.9	382.44	80305.14	209.98
2015-01-21 12:00:00	209.989	210.79	208.111	209.378	420.38	88035.7	209.42
2015-01-21 13:00:00	209.378	210	207.874	208.534	421.97	88248.42	209.13
2015-01-21 14:00:00	208.584	209.427	208.16	208.265	181.4	37861.72	208.72
2015-01-21 15:00:00	208.598	209.95	208.001	209.95	387.56	80972.22	208.93
2015-01-21 16:00:00	209.115	210.3	208.739	210.3	161.43	33860.47	209.75
2015-01-21 17:00:00	210.3	213	209.076	211.7	622.7	131572.27	211.29
2015-01-21 18:00:00	211.708	213	210.762	210.998	504.17	106954.9	212.14
2015-01-21 19:00:00	210.92	212.397	210.855	211.978	363.28	76797.04	211.4
2015-01-21 20:00:00	211.978	216	211.978	214.99	2918.64	626296.25	214.58
2015-01-21 21:00:00	214.991	223.99	214.673	222.5	4138.42	908041.17	219.42
2015-01-21 22:00:00	223	225.111	220	224	2162.77	482356.06	223.03
2015-01-21 23:00:00	224.404	224.996	218.5	223.566	1429.1	316570.71	221.52
2015-01-22 00:00:00	223.23	226	222.153	224.393	589.82	132500.93	224.65
2015-01-22 01:00:00	224	228.5	223.932	227.036	1564.74	354117.42	226.31
2015-01-22 02:00:00	228.3	233	226.996	229.713	2040.69	469505.52	230.07
2015-01-22 03:00:00	229.862	230.885	225.556	227.88	741.87	169348.35	228.27
2015-01-22 04:00:00	228	234.792	226.5	231.61	704.41	162520.74	230.72
2015-01-22 05:00:00	231.61	233.88	230	230.301	429.67	99550.15	231.69
2015-01-22 06:00:00	230.85	232.423	225.796	227.035	803.63	183012.17	227.73
2015-01-22 07:00:00	227.395	227.959	224	226.79	546.78	123520.69	225.91
2015-01-22 08:00:00	226.373	227.9	224.301	226.464	647.42	146247.87	225.89
2015-01-22 09:00:00	226.799	227.9	225.81	227.9	326.53	74063.1	226.82
2015-01-22 10:00:00	226.96	231.853	226.565	228.179	1302.79	298328.53	228.99
2015-01-22 11:00:00	228.5	229.999	227.397	229.252	442.19	101098.3	228.63
2015-01-22 12:00:00	228.89	230.937	227.637	230.011	408.37	93746.86	229.56
2015-01-22 13:00:00	230.011	234.5	228	233.7	1166.51	269900.49	231.37
2015-01-22 14:00:00	232.762	233.699	226.837	228	959.59	219679.79	228.93
2015-01-22 15:00:00	228.278	229.52	227.055	228.92	208.42	47599.67	228.38
2015-01-22 16:00:00	228.92	230.763	228.321	230.763	416.85	95878.74	230.01
2015-01-22 17:00:00	230.763	231.49	229.284	230.201	388.19	89385.99	230.26
2015-01-22 18:00:00	230.999	231	228.56	229.861	438.28	100843.91	230.09
2015-01-22 19:00:00	229.68	230	228.515	229	210.93	48388.46	229.41
2015-01-22 20:00:00	229	229.55	225.921	226.401	523.94	119097.78	227.31
2015-01-22 21:00:00	227	228.34	225.5	227.7	609.82	138177.31	226.59
2015-01-22 22:00:00	227.7	228.797	226.34	227.103	207.15	47078.85	227.27
2015-01-22 23:00:00	227.103	229.5	226.728	229.499	231	52734.19	228.29
2015-01-23 00:00:00	228.826	229.629	226.746	228.99	258.78	59057.22	228.21
2015-01-23 01:00:00	228.385	228.875	221.449	223.39	840.04	188394.47	224.27
2015-01-23 02:00:00	223.363	226.025	221.01	221.013	398.2	88761.74	222.91
2015-01-23 03:00:00	221.328	223.997	221.013	223.967	104.72	23318.24	222.68
2015-01-23 04:00:00	223.958	224.296	222.5	223.408	261.96	58450.21	223.13
2015-01-23 05:00:00	224.4	224.876	222.568	222.6	381.06	84968.36	222.98
2015-01-23 06:00:00	223.003	226.346	222.604	225.196	315.89	71044.24	224.9
2015-01-23 07:00:00	225.212	227	224.785	226.22	890.39	200919	225.65
2015-01-23 08:00:00	226.22	226.398	223.212	223.951	510.14	114691.57	224.82
2015-01-23 09:00:00	223.951	225.539	223.253	224	230.72	51731.64	224.22
2015-01-23 10:00:00	224	224.816	222.234	223.66	356.56	79728.2	223.6
2015-01-23 11:00:00	223.876	224.497	222.7	223.49	198.18	44343.69	223.76
2015-01-23 12:00:00	223.49	225	222.9	224.932	875.16	195506.78	223.4
2015-01-23 13:00:00	224.932	230	224.5	227.18	1065.58	242715.23	227.78
2015-01-23 14:00:00	227.604	229.272	227	228.892	588.31	134191.77	228.1
2015-01-23 15:00:00	228.09	229.49	226.235	227.608	575.38	131291.98	228.18
2015-01-23 16:00:00	227.494	227.494	225.177	226.956	478.38	108285.86	226.36
2015-01-23 17:00:00	226.96	228.7	226.003	227.48	213.93	48690.14	227.59
2015-01-23 18:00:00	227.697	228.22	226.143	228	187.25	42594.77	227.48
2015-01-23 19:00:00	228	228.5	227.004	227.903	81.13	18484.47	227.84
2015-01-23 20:00:00	227.9	230.994	227.5	229.51	601.76	138045.4	229.4
